Name	Gender	Race
Frank Rich	M	White
Benjamin Wallace	M	
Jessica Pressler	F	
Amy Larocca	F	
Lisa Miller	F	
Andrew Rice	M	
Carl Swanson	M	
Benjamin Wallace-Wells	M	
Chris Smith	M	
Gabriel Sherman	M	
Jonathan Chait	M	
Robert Kolker	M	
Steve Fishman	M	
Mark Jacobson	M	
Jason Zengerle	M	
Vanessa Grigoriadis	F	
Adam Sternbergh	M	
Jada Yuan	F	
John Heilemann	M	
Reeves Wiedeman	M	
Jesse Green	M	
Alex Morris	M	
James Fallows	M	
Joe Hagan	M	
The Editors		
Dan P. Lee	M	
Jennifer Senior	F	
Rebecca Traister	F	
Boris Kachka		
Christopher Bonanos	M	
Justin Davidson	M	
Graeme Wood		
Matthew Shaer	M	
Wendy Goodman	F	
Andrew Sullivan	M	
Hanna Rosin	F	
Jennifer Gonnerman	F	
Michael Idov	M	
Caitlin Flanagan	F	
Geoffrey Gray	M	
Adam Platt	M	
David Marchese	M	
David Wallace-Wells	M	
Eric Konigsberg	M	
Jeffrey Goldberg	M	
Jerry Saltz	M	
Mark Harris	M	
Noreen Malone		
Rob Patronite	M	
Robert Sullivan	M	
Will Leitch	M	
Jonathan Van Meter	M	
Joshua Green	M	
Olivia Nuzzi	F	
Sarah Boxer	F	
Ta-Nehisi Coates		
William Deresiewicz	M	
Allison P. Davis	F	
Amanda Ripley	F	
Franklin Foer	M	
Jennie Rothenberg Gritz	F	
Kerry Howley		
Kevin Roose	M	
Lauren Schwartzberg	F	
Maura Kutner Walters		
Nick Tabor	M	
Nitsuh Abebe		
Rebecca Ramsey	F	
Trupti Rami		
Alexa Tsoulis-Reay	F	
Andrew Goldman	M	
Emily Nussbaum	F	
Kathryn Schulz	F	
Katy Schneider	F	
Lynn Hirschberg	F	
Mark Bowden	M	
Molly Ball	F	
Bianca Bosker	F	
Charles C. Mann	M	
Christopher Beam		
Chrystia Freeland		
Derek Thompson		
Emma Whitford		
James Bennet		
James D. Walsh		
John Swansburg		
Jonathan Rauch		
Marin Cogan		
Maureen O’Connor		
Peter Beinart		
ProPublica		
Robert D. Kaplan		
Ross Andersen		
Simon van Zuylen-Wood		
Stephen S. Hall		
The Cut		
Tim Murphy		
Wesley Yang		
Willa Paskin		
Abigail Pogrebin		
Alec MacGillis		
Alex French		
Alex Kotlowitz		
Alexis C. Madrigal		
Amelia Diamond		
Andrew O’Hagan		
Barbara Bradley Hagerty		
Candida Moss		
Carl Zimmer		
Cathy Horyn		
Charles Fishman		
Christian Lorentzen		
Cullen Murphy		
Dan Kois		
David A. Graham		
David France		
David Samuels		
Deborah Cohen		
Don Peck		
Eric Levitz		
Ezekiel J. Emanuel		
Frank Partnoy	M	
Gabriel Debenedetti	M	
Gene Stone	M	
Genevieve Smith	F	
Gregory Mone	M	
Heather Havrilesky		
Howard W. French		
Ian Bogost		
Ian Epstein		
James Verini		
Jeff Coplon		
Jen Ortiz		
Jerry Useem		
Jill Abramson		
Jody Rosen		
Joel Baden		
John Homans		
Josef Adalian		
Joshua Wolf Shenk		
Kat Ward		
Kathleen McAuliffe		
Lane Brown		
Lisa Taddeo		
Logan Hill		
Louisa Thomas		
Marc Ambinder		
Mattathias Schwartz		
Max Read		
McKay Coppins		
Megan McArdle		
Michael Hirschorn		
Michael Kinsley		
Michael Wolff		
Moises Velasquez-Manoff		
Molly Fischer		
Molly Young		
Nicholas Dames		
Olga Khazan		
Pari Dukovic		
Paul Elie		
Rich Cohen		
Richard Florida		
Rob Walker		
Robert Moor		
Sam Kean		
Sasha Issenberg		
Sheelah Kolhatkar		
Stephen Metcalf		
Stephen Sestanovich		
Taylor Clark		
Terrence Rafferty		
Timothy Lavin		
Véronique Hyland		
Wil S. Hylton		
William D. Cohan		
Yoni Appelbaum		
Abrahm Lustgarten		
Adam Doster		
Adam Serwer		
Adrian Chen		
Adrian Nicole LeBlanc		
Adrienne Green		
Alec Baldwin		
Alex Ronan		
Alex Tizon 		
Alex Wagner		
Alexandra Starr		
Alice Hines		
Alison Gopnik		
Amanda Dobbins		
Amy Cappellazzo		
Amy Chua		
Amy Wallace		
Andrea Wulf		
Andreas Laszlo Konrath		
Andrew Cohen		
Andrew Curry		
Andrew J. Bacevich		
Andrew Marantz		
"Andrew Sullivan,"		
Angela Nagle		
Ann Beattie		
Ann Hulbert		
Ann Patchett		
Anna Wiener		
Anne Applebaum		
Annie Lowrey		
April Rabkin		
Ariel Sabar		
Atossa Araxia Abrahamian		
Ben Paynter		
Ben Rowen		
Ben Yagoda		
Benjamin Carlson		
Bernice Yeung		
Bethy Squires		
Bill Clegg		
Brandon Alcorn		
Brian Christian		
Brian Feldman		
Brian Mockenhaupt		
Brian Raftery		
Bruce Falconer		
Bruce Handy		
Bryant Urstadt		
Caren Zucker		
Charlotte Cowles		
Choire Sicha		
Chris Koentges		
Chris Rovzar		
Christine Fair		
Christopher B. Leinberger		
Christopher Boucek		
Christopher S. Stewart		
Claire Dederer		
Claire Hoffman		
Claire Shipman		
Clare Morgana Gillis		
Claude Brodesser-Akner		
Clint Rainey		
Colm Tóibín		
Corby Kummer		
"Crystal Martin,"		
DW Gibson		
Dahlia Lithwick		
Dan Slater		
Dana Goldstein		
Daniel B. Klein		
Daniel B. Smith		
Daniel Bergner		
Daniel Byman		
Daniel D. Castro		
Daniel Engber		
Daniel Okrent		
Dante Chinni		
Daphne Merkin		
Darcy Courteau		
David Amsden		
David Dobbs		
David Donadio		
David Edelstein		
David Epstein		
David Freed		
David Frum		
David Gauvey Herbert		
David Greenberg		
David H. Freedman		
David Hay		
David Rohde		
David Rose		
"David Wallace-Wells,"		
Dina Temple-Raston		
Doree Shafrir		
Doreen St. Félix		
Douglas Gorney		
E. B. Nealy		
Ed Kilgore		
Ed Yong		
